video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"0YxQSIyAG18","TANTANGAN FONDUE AIR MANCUR COKELAT || Cokelat VS Makanan Asli selama 24 Jam oleh 123 GO! CHALLENGE","2021-03-18T11:00:00Z","UC-S7cyZCojMeVopBkH6yNEw","123 GO! CHALLENGE Indonesian","26","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"yXF4HqEgC_0","KAKAK SMA vs ADIK KECIL || Saudaraku Nyebelin Banget Selama 24 Jam! Perang  Saudara Lucu oleh RATATA","2021-03-29T01:00:13Z","UCOrr1XwI__pq0Xldd37IJJQ","RATATA Indonesian","24","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"chLtOog8QEw","Ungkapan Hati Aurel Dengan Krisdayanti  - IKATAN CINTA ATTA & AUREL PENGAJIAN","2021-03-20T13:16:16Z","UCeM5Nksgv9_FXTuZ8jkPJPg","RCTI - ENTERTAINMENT","24","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"AlvEGWHGQ2Q","Pangeran, Mingguan: Kisah Fikri Mengenang Sosok Ayah Freddy Budiman","2021-03-26T08:52:48Z","UCeXBXzelo7MvLkMr3dAKODQ","Asumsi","22","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"pwSCypHaqPk","Lesti Kejora - Rizky Billar Part 2 | Christie SERIBU KALI CINTA THE SERIES Eps 10","2021-03-28T09:00:17Z","UCkCoHqyT1IqmY2AOEs0kN_g","KapanLagiDotCom","24","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"Voyqr8TyrDU","MOMENT KEDEKATAN BILLY SYAHPUTRA & MEMES PRAMESWARI DI LOKASI SYUTING","2021-03-31T04:11:43Z","UCpqpwbaViy1OIlwTLPEp9NQ","seleb cam","24","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"LYNjvvJvwH8","Super AMOLED, 2.39 Jutaan, Tahan Air: Review Redmi Note 10 RESMI Indonesia","2021-03-30T13:37:48Z","UCbyVnlQdFIcdViuoPIPK68A","Jagat Review","28","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"TJ4lXhVdlyU","That Time I Got Reincarnated as a Slime - Episode 36 [English Sub]","2021-03-30T15:30:11Z","UCGbshtvS9t-8CW11W7TooQg","Muse Asia","1","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"8tlfdxL2TNs","Keren Abis!! Penampilan Judika & Rossa Feat Weird Genius - Spekta Show TOP 4 Indonesian Idol 2021","2021-03-22T20:13:00Z","UCxcS3gOeEOdim7CwL9l0QvA","Indonesian Idol Special Season","10","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"kevZAD0_Am0","MAKANAN DARI COKELAT VS ASLI VS REAL || Tantangan Makanan Yang Menggiurkan oleh 123 GO! GOLD","2021-03-30T09:42:49Z","UCwIzd032IQjvJ9larkdcwgg","123 GO! GOLD Indonesian","24","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
